00000012,Angel Star (1)
000003C6,Kazarghand (Sacred)
000003C7,Kite Shield (1)
000003C8,Kite Shield (2)
000003C9,Kite Shield (3)
000003CA,Kite Shield (4)
000003CB,Kite Shield (Sacred)
000003CC,Lamellar Armor (1)
000003CD,Lamellar Armor (2)
000003CE,Lamellar Armor (3)
000003CF,Lamellar Armor (4)
000003D0,Lamellar Armor (Sacred)
000003D1,Large Shield (1)
000003D2,Large Shield (2)
000003D3,Large Shield (3)
000003D4,Large Shield (4)
000003D5,Large Shield (Sacred)
000003D6,Leather Armor (1)
000003D7,Leather Armor (2)
000003D8,Leather Armor (3)
000003D9,Leather Armor (4)
000003DA,Leather Armor (Sacred)
000003DB,Leather Gloves (1)
000003DC,Leather Gloves (2)
000003DD,Leather Gloves (3)
000003DE,Leather Gloves (4)
